農、林、漁、牧、礦業,食品業,紡織業,紙業及印刷業,石油化學工業,生技製藥與醫療保健業,非金屬礦物製品製造業,金屬工業,電子零組件製造業,光電材料及元件業,資訊電子業,通訊業,電力設備製造業,機械設備製造業,運輸工具及零件製造業,綜合用品製造業,水電燃氣業,營造及不動產業,批發及零售業,運輸及倉儲業,觀光、餐飲及休閒業,文化創意產業,金融、保險及證券業,工商及個人服務業,環保、教育及社會服務,其他
44618688,173490302,17295600,2166507,176393215,34229,13281184,11256186,380714,0,0,0,121024,66429,93552,26944252,6844757,9680687,56077,138192,151605,0,0,0,11141,3397089
57681318,45897594,1274992,1470884,1253241,130924,873,2211,9916,0,0,0,2900,2525,862,4475910,0,0,38731,0,15368,132271,0,130308,70516,3376828
1061017,234696,191624908,329522,11602246,612669,87503,173273,109714,0,0,0,154285,53070,155474,8979186,22135,253963,595527,113709,530824,108339,0,735800,34828,2404066
320934,4026690,3935742,38342888,4936867,529619,2025326,1351371,3120948,0,9327,546467,1061251,526080,461867,3679237,100236,449801,5360963,536125,259067,921229,561057,9879948,961166,6446711
23405196,8533391,48765989,8982037,225315497,2117733,12393962,15508448,10418553,0,1948,198821,6444587,4530478,8970617,25120768,48022068,15011272,11597722,34835545,1106106,648503,240579,5681061,937156,17072351
980523,1412692,315514,97801,141407,9281981,20955,23481,101999,0,0,4090,50545,28292,30127,66595,25632,273482,789693,85553,33187,27376,290564,221909,838037,1713854
160882,503049,37781,51030,567094,240932,9789214,3437849,2263276,0,0,0,680773,752075,993152,1369043,8484,50398248,6492,3122,309693,11921,0,242362,164774,2606375
956036,4905020,843732,927498,5930308,113544,1671259,162209702,17622048,0,0,30071,22852449,32440942,24438405,9502461,127136,38171713,191680,176195,60062,133908,0,1024967,202066,8050445
185453,0,512,1168,2974,0,3530,57622,70164356,0,3318,492252,1906108,520173,268941,379700,104039,396815,12150,137752,1173,108893,0,64222,114808,3087606
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7811,59332,108438,71865,103781,3161,11091,22333,54597,0,2049,11022,21052,25414,39991,41151,4543,68245,181613,135957,16937,15578,65617,54016,10952,56286
492241,297365,644606,332111,810119,260770,194367,556223,558871,0,13207,321577,237368,394937,222575,732530,52563,485641,6089798,1156468,329950,191683,676756,966814,603348,7963016
268748,63415,376556,114543,484712,15470,171880,799818,8438889,0,5614,355589,14916812,2204573,2872412,813622,1183930,11723678,27060,123524,95017,134214,24144,1043791,551597,2081384
2214228,663927,3184615,1008835,4392939,430362,2554517,2351293,1750301,0,8139,1850,2359287,14229740,2774718,1104212,256441,1826371,338551,470627,12037,209797,22475,1313088,483196,2487560
1332722,14664,13390,94001,45101,17055,42148,58459,4218,0,215,9328,53164,25160,36662867,13650,4388,51554,11378,4846454,32332,4246,4211,1841196,46601,1257885
1581572,752554,1984911,1047118,3379844,59205,314559,607262,1963503,0,4770,67052,448157,562889,1248946,37864438,22359,11000813,1932413,290682,157054,469801,251943,1006051,420926,3184639
2858978,3727459,12787607,3816237,13446002,728327,5948781,14113206,2079408,0,19847,475678,1495241,1853911,1532102,4219594,10688152,1943439,4174375,1987986,3008867,792469,654559,2568830,1998285,5295700
636873,642778,1028164,349685,1597415,210936,284918,586449,609046,0,19633,1031351,270002,377861,341098,614321,795621,13424229,5773505,3890790,1096812,322221,816235,1499449,1205748,1339386
5697105,14157645,7390865,2961617,9893991,1295650,1459198,9582123,7879210,0,3503,234345,3064937,3605936,5295870,6703915,257217,9213159,1640134,812694,161451,545000,284028,1192865,570714,3669309
2431525,3063262,3557153,1393433,4411705,634059,2832304,3275794,1796700,0,24152,763693,829801,1407039,985167,3672877,712654,7272908,7520246,8893417,111905,198552,576697,1154482,387497,6782135
176325,137797,428765,147131,463009,104291,84089,235004,229237,0,8608,51983,117086,211392,174957,551302,24893,392141,1118936,390296,0,27362,224203,330642,451791,2620498
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2473935,0,6281943,0,187097
2644617,4052196,7238406,1278906,11477711,186278,1680902,6081183,1844614,0,4397,537999,1389204,1274219,2892956,2394389,3892420,8286143,9244782,5009639,519523,37435,3386896,650047,467402,3797357
483586,3109536,3516657,1950770,4740561,681091,655016,1356556,2689853,0,58708,402042,1104683,1110008,1562595,1971886,258411,3777194,15448533,8907030,1262224,1034227,2494294,2755112,640062,2758169
202686,257973,928701,83518,540565,18175,78520,159873,407000,0,0,17182,195987,120814,273772,340945,98054,453555,584431,814737,21002,172443,1328372,873056,417009,1434273
1968385,3390865,2062876,3764786,6203370,663618,1206651,13945775,2771381,0,27387,93433,777019,777153,293488,2182354,217394,4198355,4638051,1075679,26444,235283,739717,1515631,418591,24649882
319641870,367884595,416629816,96317036,600452662,33913282,88762065,310654665,192001350,1,875535,31499400,86811217,103757406,136484879,211352551,131831469,382658079,304435954,149624047,29671443,19521938,102705506,97694900,65621896,279031231
