農、林、漁、牧、礦業,食品業,紡織業,紙業及印刷業,石油化學工業,生技製藥與醫療保健業,非金屬礦物製品製造業,金屬工業,電子零組件製造業,光電材料及元件業,資訊電子業,通訊業,電力設備製造業,機械設備製造業,運輸工具及零件製造業,綜合用品製造業,水電燃氣業,營造及不動產業,批發及零售業,運輸及倉儲業,觀光、餐飲及休閒業,文化創意產業,金融、保險及證券業,工商及個人服務業,環保、教育及社會服務,其他
84736,280902,19611,903,994964,636,49801,132849,716,142,0,4,143,209,121,4734,396080,35964,4,43,22214,17,0,855,618,1225
91833,159663,205,266,1690,973,17,1,0,0,0,0,0,155,0,11904,27,1,0,93,131383,4066,0,1396,905,2792
3438,1017,267443,2524,17089,677,1613,1021,6714,164,46,40,512,502,1515,15641,45,1133,2904,263,4314,457,0,4692,397,704
782,13326,7067,107060,8592,3347,5454,4437,4860,2660,2411,4695,1890,1626,1414,4433,322,4601,51897,1036,10795,51868,14930,14706,9835,13468
58707,27675,152188,39996,2555998,21672,51697,167059,228704,150117,28916,25450,29357,36273,44302,42949,84492,75018,127937,251567,23333,14603,1978,66324,34189,14421
1862,1475,20,745,122,127812,6,13,217,1109,126,7666,36,406,23,327,37,566,84,10,30,11783,11,3322,4579,1145
403,3194,2115,0,5073,5242,75957,15770,19857,164275,113,35,1734,2148,4492,1442,510,171979,0,2,2017,79,0,1482,1749,940
2615,14854,1112,4288,53846,3870,9861,1798096,91411,13097,11620,19091,127445,308315,106240,45738,1233,300620,417,1502,3374,926,0,10913,5153,28092
0,0,0,1,1,27820,0,435,1123570,142027,100093,187923,13355,18006,2607,5157,0,993,0,89,0,991,0,62444,10266,1198
0,0,0,1,0,775,0,0,3051,289681,29798,67987,4355,458,434,466,0,1313,0,0,0,0,0,7071,1394,1
22,774,818,448,3196,1572,243,738,3986,2587,44101,12127,822,5335,858,1048,537,11818,37695,3149,6862,7398,11313,7925,4781,9977
430,561,956,1094,5290,9199,1082,3150,7040,2473,17369,95333,2373,14485,4085,1892,553,11781,35407,3793,4158,7225,9060,14238,13453,22230
286,22,145,53,1793,1812,80,2580,19146,2715,3782,16686,130612,57992,13156,3123,1970,90743,725,633,207,3120,48,10666,6531,3036
8311,2007,2510,2325,21546,3827,7635,24348,43094,15506,940,2267,18266,231934,20846,3375,19945,48683,475,51749,227,1305,2080,10890,9228,6529
1322,47,68,2,643,1391,0,13,0,0,36,1303,50,11066,283437,472,1,47,6064,6930,28,32,0,40689,344,2342
3023,313,1464,4820,1731,10118,791,2362,480,237,444,546,516,1697,4396,53125,148,35025,7454,840,2255,7473,2345,4053,12073,1422
6227,11974,23103,11931,121135,11641,25705,59189,52362,26683,7140,6281,3845,8485,7429,4928,96364,13423,72305,9727,24854,7491,5067,12524,24415,9660
3498,2622,3854,2314,17159,5653,4316,14888,12235,3045,6270,14589,2038,8912,3069,2314,4747,183779,199843,24722,19396,18092,32383,29679,17877,19079
50882,65885,43417,43482,116062,85507,31320,184047,104716,54647,29290,61157,44600,111646,85082,36165,8581,128209,106737,35358,51255,44191,2773,50834,24728,25197
5980,7450,5610,3383,23979,8086,10587,21927,15941,5914,9273,7856,5254,14795,6708,5452,2439,29140,83452,186113,4649,6056,11820,13645,12707,12308
388,1738,2776,539,9840,5690,1020,3669,4849,2127,4097,4667,1472,6781,1593,1539,236,8143,100799,15007,1688,6214,11403,15207,24622,19104
135,17980,1853,2009,10044,5531,975,3394,4131,1032,11806,12974,1886,3577,3608,3026,313,38366,101916,4106,6226,119649,17680,25834,25156,12026
4000,6255,6298,4727,25960,6183,4181,27286,31478,19786,10046,8254,7365,8286,6286,5284,6111,131489,68994,14492,7694,5759,211961,23231,9357,26271
2216,6348,4661,3427,22048,8431,30307,21740,49837,22683,10571,26369,3531,10378,8918,4760,5779,47614,183984,70264,11964,10756,37685,40714,19342,20288
664,1871,1271,10268,2101,3843,2715,64923,2438,809,1032,1115,585,1838,434,604,1131,5963,6725,3406,2213,2361,6980,10619,45968,60301
1802,2735,886,1005,4599,1393,983,5424,4187,1418,984,3051,1123,3514,1467,1447,4217,16680,27220,6719,1468,3494,13985,3367,3775,10
610021,805979,668871,331036,4568691,742800,436368,3010917,2668410,1132031,562105,946042,503454,1101270,792880,346772,793301,3107386,4138015,1088174,701629,645419,1302278,1401610,1191671,1379553
