農、林、漁、牧、礦業,食品業,紡織業,紙業及印刷業,石油化學工業,生技製藥與醫療保健業,非金屬礦物製品製造業,金屬工業,電子零組件製造業,光電材料及元件業,資訊電子業,通訊業,電力設備製造業,機械設備製造業,運輸工具及零件製造業,綜合用品製造業,水電燃氣業,營造及不動產業,批發及零售業,運輸及倉儲業,觀光、餐飲及休閒業,文化創意產業,金融、保險及證券業,工商及個人服務業,環保、教育及社會服務,其他
64427,202011,18524,1418,105697,72,22578,12886,136,0,153,0,199,135,91,13615,27714,19791,179,29,367,31,0,41,103,1868
59824,67724,1453,620,1241,254,11,1,0,0,0,0,2,3,0,11169,4,0,2,0,904,396,0,114,192,4845
1425,736,289685,1008,14191,872,330,351,126,0,422,8,401,259,843,14008,65,288,1277,158,1417,154,0,1285,182,3509
603,8334,8165,86891,7670,1560,3403,3163,4549,0,3984,1238,3447,1472,1363,6944,247,1942,12604,1918,1108,25489,8377,9299,3642,17092
27976,13307,76077,15036,399175,5810,14013,31020,26154,0,17252,2722,24311,13821,19175,38875,46403,28929,25460,54272,2961,1129,447,11011,4617,22106
1376,2029,590,178,521,34632,142,112,323,0,412,43,349,246,287,200,10,2232,3706,184,107,60,1187,194,1491,4029
238,1530,63,77,1503,1286,29703,6340,5325,0,4249,0,3064,1838,2739,2562,16,101015,96,10,947,72,0,539,385,2515
1585,13391,1095,1255,9738,169,4356,345403,27219,0,7762,3704,62912,86480,58297,32406,316,99600,1149,690,208,458,0,1999,522,21107
0,0,0,20,73,0,12,248,77850,0,101296,19351,5556,9584,743,2069,0,0,54,134,3,35,0,78,159,2588
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,400,590,754,740,463,142,556,4553,0,74378,1209,705,6197,872,2872,393,1580,3466,1911,588,2017,3783,1842,1312,7864
404,393,846,578,1229,1261,321,971,697,0,1385,11625,621,1052,1048,954,143,2123,12369,2886,825,697,2366,1443,2195,31564
385,130,476,207,681,208,437,1264,9868,0,11368,4010,67968,11968,6844,661,3520,35208,406,255,340,670,243,2431,1698,5534
3985,1010,4788,3292,5491,1777,3815,6537,1713,0,3080,286,8567,42207,5595,2513,1427,7843,1691,1686,138,4508,1061,3948,2098,6092
2043,133,181,210,721,927,413,137,11,0,13,2,49,196,110043,486,42,124,1298,13722,27,55,25,9930,146,10612
1947,1009,3957,1831,5801,115,498,1179,510,0,1429,75,1510,1685,4577,73548,137,21742,3335,713,426,1375,385,2125,1519,4959
4378,6091,20692,9646,26653,2851,8195,20719,4183,0,1705,1487,3662,4219,3422,5680,33393,2867,12117,3400,7154,2029,2313,3342,6253,11805
1268,1611,2923,1360,3613,1712,889,2249,1556,0,1352,4171,1401,2009,967,2042,3494,69376,49824,8078,8500,3020,12297,10867,2161,1729
15362,27125,23770,10423,28348,8932,6239,28198,11554,0,18508,2170,16197,20912,19565,21781,5649,34611,10885,9759,1587,3555,1567,6367,5179,10865
5367,7401,7578,3421,10571,2511,6191,9186,3397,0,4087,1502,3767,5425,3835,7670,2275,16340,20665,43409,601,1234,5126,2573,2008,21921
242,504,918,398,1338,345,214,720,445,0,795,263,619,956,454,642,130,879,5121,2051,143,456,757,883,2235,9444
163,7095,1834,1756,4096,2062,599,1131,1030,0,2564,287,2751,1440,2352,1561,159,5950,24387,1545,1128,30213,3987,4368,512,5784
18451,9065,15287,8988,17976,1228,6437,20299,5557,0,4242,1148,6291,7910,3824,10399,10483,35378,43300,12998,2879,1829,72485,1814,2291,24768
2345,5113,7378,3966,12719,1581,1918,5862,3612,0,3308,1191,3751,5350,3727,5366,2537,23189,32517,22285,2369,2294,11245,6149,2583,13248
379,802,1651,478,2043,961,450,1650,1185,0,1331,330,1005,1067,1885,783,118,1766,2718,1807,472,888,6723,1023,1484,11482
1971,1241,1699,6169,4100,1569,1578,40111,605,0,493,159,523,1940,316,1331,624,2286,7220,2330,688,1318,3185,2303,1244,69208
445243,518793,671854,236745,930762,178421,183655,714081,270027,1,345003,142894,298120,328832,378882,370870,259796,1153790,860215,426371,110450,148507,427650,285908,271113,775183
