農、林、漁、牧、礦業,食品業,紡織業,紙業及印刷業,石油化學工業,生技製藥與醫療保健業,非金屬礦物製品製造業,金屬工業,電子零組件製造業,光電材料及元件業,資訊電子業,通訊業,電力設備製造業,機械設備製造業,運輸工具及零件製造業,綜合用品製造業,水電燃氣業,營造及不動產業,批發及零售業,運輸及倉儲業,觀光、餐飲及休閒業,文化創意產業,金融、保險及證券業,工商及個人服務業,環保、教育及社會服務,其他
104250,193114,13411,1023,820848,226,45157,53469,1551,557,189,0,460,260,504,4807,187860,33506,4,27,15514,0,0,310,253,1507
63666,83066,463,0,846,530,10,0,0,0,0,0,0,0,0,11068,14,0,0,0,67613,188,0,760,469,2595
1571,726,259536,1602,14466,996,542,770,10891,83,213,3,942,233,1224,11992,49,915,1663,317,4086,422,0,4104,358,2109
802,10030,6543,97956,7002,2703,2849,4003,5967,2383,3602,2518,2333,1860,1512,4176,270,4561,43649,1551,7727,45655,14055,12637,8798,10741
53262,24684,144353,27387,1603817,11618,25606,107474,179077,107874,31016,11016,30513,33393,33226,36893,87170,60261,88874,207135,16802,12109,1432,43204,22900,16341
2831,2116,436,0,874,77187,79,309,541,58,206,67,587,318,496,120,16,4271,21099,568,608,567,4883,1972,5295,2999
166,1970,3349,0,3272,2401,45010,8190,11545,2402,618,0,1525,5571,3580,1275,329,172760,0,0,1256,64,0,643,1759,1220
2313,12304,1096,3480,32641,1762,7063,1229195,95199,10822,12314,5759,121736,228753,83174,38728,327,235411,16,1167,2376,1615,0,10776,10272,21460
0,0,0,0,1,733,4,0,1053475,158366,111422,113985,13022,53471,3409,4090,0,201,0,112,0,1147,0,37635,8317,1105
0,0,0,0,0,394,0,0,1624,338698,49780,15308,1498,4748,363,250,0,1503,0,1,0,0,0,4236,634,1
35,709,257,136,835,774,233,288,1763,1436,17911,7448,895,15319,357,445,199,9620,21268,844,2612,5473,7274,3957,4854,7957
469,740,960,1292,2740,3965,807,3660,2344,962,14602,61276,1100,4488,921,961,297,13562,36009,3751,3939,6735,8338,12872,8431,23730
228,35,150,35,1110,956,118,2070,18147,2385,8087,11332,108536,47605,12121,2554,1389,80963,538,587,133,2794,45,9099,7009,3508
7490,2227,4812,3312,17312,13844,6360,16706,35652,14671,3251,2533,18627,180252,19198,3786,13309,48716,363,33719,216,9562,1855,9338,11124,5593
1410,54,136,17,462,1437,0,17,0,0,32,0,40,6619,201293,297,0,43,4443,7647,50,34,0,31538,264,5103
2892,431,2214,4007,1598,10835,628,2046,325,182,765,213,764,1831,4290,49927,88,31346,4405,875,1814,5706,544,3007,8031,2385
5927,7885,21898,9881,90270,7969,13318,41324,32222,15379,5890,4404,3571,6628,5113,4508,65512,7749,56776,6018,18942,6136,4414,9493,18221,6757
3437,2432,3438,1856,19338,4431,2757,11439,9139,2063,4408,11251,1301,6244,2094,1682,6168,143567,197307,16247,16339,15401,31024,24961,15284,16161
41166,53865,44585,30201,88163,25580,24272,134040,96421,30195,28543,39212,37886,96834,66241,31019,6547,121210,70528,61521,41521,25893,2258,39613,23517,10414
4930,6905,6911,4709,26970,6152,8819,19331,17261,6020,6209,5249,5300,13658,5083,5114,3699,32105,73080,166368,3830,5064,10794,9690,8827,10998
348,1133,2004,457,8207,4456,512,3284,2731,1129,3129,1133,1382,5984,1076,1345,154,6654,81419,12841,863,5420,10449,6967,20459,15220
194,11768,2298,1780,9646,4538,1099,2900,4845,814,8108,10381,1845,2933,3116,3212,671,31794,77760,4465,5832,103102,14021,21506,21250,8864
5327,6563,8930,5343,29155,7675,4081,25828,32341,18322,12863,8190,8990,13597,6826,6408,5489,152516,78517,16796,7978,7084,185213,19718,11823,40275
2252,6795,8185,4451,32182,12343,4478,23241,130299,38907,35483,52705,10116,21132,17846,7544,3059,48453,140072,74802,9099,12241,32837,25732,19523,20191
647,1640,1968,9911,1399,3293,934,46008,2009,677,723,985,819,2422,494,612,1011,4450,5253,3152,1687,2036,6308,8218,32755,47572
1718,2402,1284,681,5895,1132,866,5134,2705,1213,1003,1003,1005,1555,1472,1093,2712,11248,14562,4327,1438,3096,12202,2832,1990,6
548183,575770,653434,286113,3250338,499361,262505,2119243,2395915,953899,537297,617974,455627,976462,612563,314065,586313,2771740,3563383,1014672,488040,531005,1231721,1079954,1024934,1204404
