農、林、漁、牧、礦業,食品業,紡織業,紙業及印刷業,石油化學工業,生技製藥與醫療保健業,非金屬礦物製品製造業,金屬工業,電子零組件製造業,光電材料及元件業,資訊電子業,通訊業,電力設備製造業,機械設備製造業,運輸工具及零件製造業,綜合用品製造業,水電燃氣業,營造及不動產業,批發及零售業,運輸及倉儲業,觀光、餐飲及休閒業,文化創意產業,金融、保險及證券業,工商及個人服務業,環保、教育及社會服務,其他
98334,264830,19472,1617,152562,155,29275,15137,877,9,120,0,210,301,241,8319,40070,29854,268,36,500,23,0,109,159,979
86859,85557,1366,269,2230,278,9,1,0,0,0,0,0,6,0,13269,15,0,2,0,1660,85,0,1077,251,7006
1811,742,307397,1265,14540,1099,420,827,230,6,485,13,841,335,966,10602,55,458,1891,180,2139,228,0,2007,316,4306
930,8669,7372,97346,8861,1980,3854,3847,5843,202,5327,1071,3868,1887,1690,5019,435,3178,18704,2712,3164,39833,11394,14995,7573,23279
33962,14066,98287,15857,514104,7485,18640,41256,71128,2834,31471,4725,38416,19117,23130,33885,48620,44667,32851,76504,6680,2029,443,15523,8317,18362
2049,1839,660,241,635,26983,251,195,816,38,1039,95,534,418,464,88,5,3757,7115,437,196,124,2272,381,2977,1856
265,1446,92,136,1995,1805,33766,7139,13990,2481,4030,0,3004,3352,2439,2540,21,152881,139,12,1387,75,0,1076,531,1217
2036,15119,1222,1486,13346,929,5806,477256,42053,2314,13614,5591,81593,133457,74369,35721,421,135701,889,826,398,725,0,3183,902,9733
0,0,27,1,546,0,16,299,167999,8376,277574,25777,12986,18296,1026,5465,0,0,47,333,5,765,0,2141,385,7390
0,0,0,0,0,0,0,34,1655,3365,43561,2958,1055,2312,80,1166,0,0,0,0,0,0,0,0,3,304
187,839,929,1371,1320,1101,369,1173,3621,1144,78521,2011,947,11581,2109,4509,270,3176,7848,3771,1943,3299,11005,3729,4111,19383
921,526,1149,1216,1767,2277,533,1788,1076,80,3027,17772,802,1720,1347,989,268,6348,26839,5140,2112,1863,4501,4367,4787,26369
443,224,586,363,1210,331,614,2339,8901,146,20292,5300,68947,22749,10370,742,2751,64403,707,445,625,1146,382,4044,2801,7525
4846,1667,5534,4659,6372,3224,4608,7863,3906,216,4419,476,14633,57737,8444,2849,2491,16021,2028,2716,245,7412,1553,6719,4373,8390
2279,183,224,111,809,914,470,173,25,0,56,4,100,590,144245,526,57,94,2058,23652,70,181,30,16594,236,15734
2292,1283,4679,1311,5437,142,692,1742,652,44,1433,134,1680,2221,3950,49123,487,31477,3438,841,737,3191,521,2734,4298,3905
5625,6970,20725,14922,38247,4314,10796,26819,8212,450,3502,2093,4247,5697,3875,4883,51722,3276,19992,4595,12419,3674,2233,4849,9399,7092
1716,1573,2668,1663,4257,2430,1270,2965,2217,113,1569,6296,1762,2874,1186,2181,4624,124776,87086,11774,15033,5658,20944,16908,4203,1670
19411,50218,32948,22638,54394,13384,12067,57754,30599,2049,38444,5310,32700,33947,43723,25228,6837,63472,14135,17148,5384,16783,4083,16286,8738,21727
7030,9742,8966,4459,15032,4037,9276,15976,8895,420,9581,2003,5798,9114,6215,7252,2984,29752,41547,75681,2348,2360,5532,4625,3516,20424
313,743,1218,425,2028,629,383,1296,1083,56,1826,632,840,1760,708,584,482,1815,9437,3320,576,754,912,1869,4925,6540
189,9539,1977,3119,6359,3112,994,1712,3482,116,7547,501,3784,2302,3973,2428,520,11306,48575,3293,3163,52260,8464,7639,943,3411
30239,11332,20141,8738,22432,1632,9119,32801,14868,646,19308,2886,13058,11773,7543,9511,15782,66042,89912,17860,4802,2816,88360,4300,4533,48366
4155,7078,9569,3436,15561,2564,3285,9616,9618,524,4398,2880,4104,7331,5470,6216,8773,56071,68267,44790,5578,4526,27376,11925,5450,18667
501,1654,2150,748,3564,2600,1055,3848,5638,173,4918,1473,1574,2142,2895,1025,581,3124,5994,3783,1447,1398,12035,1898,4276,16297
1787,1206,1312,6630,7361,2338,3336,40395,1608,467,5835,574,3001,2568,1162,3543,3389,10644,11930,3255,2655,1414,2270,3974,1571,71606
586468,652127,733727,294901,1254722,289730,242143,1012897,603588,34229,746262,242337,413928,508217,500722,334863,366281,2024331,1561018,683964,233518,265889,765658,511429,513108,971212
